Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
3980,hit,0,7.973363,0,7.973363,0,0
2857,miss,9.994047,10.149761,3.125941,0,23.269748999999997,0
4095,soft-hit,15.531876,5.764134,4.641243,25.937253000000002,0,true
4178,miss,9.736423,5.596463,2.287056,0,17.619942,0
5766,soft-hit,11.930713,4.550113,2.607635,19.088461000000002,0,true
26555,soft-hit,8.444487,4.727534,2.571313,15.743334,0,true
9868,miss,7.944707,4.739011,2.016068,0,14.699786,0
32069,soft-hit,10.642721,5.65661,2.784666,19.083997,0,false
23371,soft-hit,6.3954,4.613148,1.943092,12.951640000000001,0,true
28513,soft-hit,6.564252,4.656158,2.106052,13.326462,0,true
26265,soft-hit,8.1954,4.016019,2.364142,14.575561,0,true
20239,soft-hit,10.568267,3.759824,2.727014,17.055105,0,true
12813,miss,6.992257,6.630452,2.072094,0,15.694803,0
30350,miss,9.355812,4.342392,2.400393,0,16.098597,0
9726,miss,9.165973,3.960241,2.378924,0,15.505137999999999,0
16948,soft-hit,9.026791,5.445618,2.364672,16.837080999999998,0,true
4494,soft-hit,10.33184,5.080927,2.741746,18.154513,0,true
16948,hit,0,6.392128,0,6.392128,0,0
30350,hit,0,11.930159,0,11.930159,0,0
5706,miss,12.160841,5.881298,3.404786,0,21.446925,0
4095,hit,0,4.058807,0,4.058807,0,0
32888,soft-hit,6.334506,4.992753,1.81785,13.145109000000001,0,true
22764,miss,17.844391,71.155673,4.486911,0,93.486975,0
30736,soft-hit,7.379297,4.623242,2.061871,14.06441,0,true
23371,hit,0,3.909933,0,3.909933,0,0
7208,miss,18.291403,5.730677,3.95322,0,27.975299999999997,0
18131,miss,6.479985,3.771933,2.013456,0,12.265374000000001,0
9726,hit,0,5.950999,0,5.950999,0,0
16948,hit,0,6.299273,0,6.299273,0,0
10479,soft-hit,16.372774,5.669158,3.351561,25.393493,0,true
12775,soft-hit,8.820507,5.542493,2.099502,16.462502,0,true
28278,miss,15.852963,84.411438,3.340955,0,103.605356,0
29372,hit,0,5.237953,0,5.237953,0,0
18648,hit,0,4.939324,0,4.939324,0,0
26697,soft-hit,11.706825,5.197547,2.537635,19.442007,0,false
1704,miss,44.845757,7.469082,5.834054,0,58.148893,0
14451,soft-hit,6.691058,4.787199,2.011044,13.489301000000001,0,true
34161,miss,8.592519,5.252667,2.627446,0,16.472631999999997,0
34058,miss,6.591979,4.571569,2.016305,0,13.179853000000001,0
177,miss,12.833856,5.647242,3.552015,0,22.033113,0
14813,soft-hit,6.166109,4.244958,1.955843,12.366909999999999,0,true
20239,soft-hit,13.985468,6.951362,3.841193,24.778022999999997,0,false
6824,miss,8.531551,5.024948,2.213666,0,15.770165,0
26371,miss,8.662835,5.799158,2.118823,0,16.580816,0
9746,soft-hit,11.234936,6.266836,2.526529,20.028301,0,true
17225,miss,12.366797,6.958118,2.81287,0,22.137785,0
20239,hit,0,4.887164,0,4.887164,0,0
24125,miss,18.119732,5.006815,3.537054,0,26.663601,0
14068,soft-hit,9.30684,6.280772,2.086329,17.673941,0,true
17956,soft-hit,15.112024,5.866146,3.067722,24.045892000000002,0,true
28278,hit,0,70.120059,0,70.120059,0,0
3718,soft-hit,15.540931,13.2942,3.29224,32.127371,0,false
17956,hit,0,5.417194,0,5.417194,0,0
803,miss,8.052171,4.334722,2.421355,0,14.808247999999999,0
13409,soft-hit,9.364307,5.105765,2.782499,17.252571,0,true
7366,miss,10.245998,5.342758,2.855672,0,18.444428000000002,0
28153,hit,0,5.83989,0,5.83989,0,0
32741,miss,8.763203,4.316803,2.52879,0,15.608796000000002,0
3980,soft-hit,7.299394,5.317249,2.241538,14.858181000000002,0,true
6824,soft-hit,6.788924,3.9605,2.007222,12.756646,0,true
3100,soft-hit,7.915678,4.247938,2.453066,14.616682,0,true
32888,hit,0,6.264223,0,6.264223,0,0
28153,hit,0,6.614749,0,6.614749,0,0
9823,soft-hit,13.402165,5.512267,3.93753,22.851962,0,true
14068,hit,0,4.217875,0,4.217875,0,0
27830,miss,6.233606,3.57295,2.022351,0,11.828907000000001,0
26265,soft-hit,6.895741,3.300591,2.128222,12.324554,0,true
12499,miss,9.515556,6.553665,2.816045,0,18.885266,0
4494,soft-hit,10.134436,8.307521,3.028804,21.470761,0,true
34618,miss,7.21454,5.457596,2.064926,0,14.737062,0
2045,miss,8.083232,4.273818,2.546342,0,14.903392,0
6096,soft-hit,8.133069,4.717426,2.535622,15.386117,0,false
4889,soft-hit,8.243594,6.736658,2.508974,17.489226000000002,0,true
35470,soft-hit,6.678514,4.095207,2.089634,12.863355,0,true
30736,hit,0,3.709314,0,3.709314,0,0
18654,hit,0,4.910355,0,4.910355,0,0
33049,miss,13.202999,5.186989,3.97613,0,22.366118,0
32888,hit,0,5.60476,0,5.60476,0,0
27259,miss,8.804816,5.291396,2.793975,0,16.890187,0
35244,soft-hit,7.174232,4.587295,2.101692,13.863219,0,true
26265,hit,0,3.689214,0,3.689214,0,0
13409,hit,0,4.507831,0,4.507831,0,0
5654,miss,6.513121,4.402754,2.189005,0,13.10488,0
29864,hit,0,3.67915,0,3.67915,0,0
2836,miss,8.677433,4.812159,2.716054,0,16.205646,0
5394,hit,0,4.145176,0,4.145176,0,0
17196,soft-hit,7.524287,4.913734,2.676034,15.114055,0,true
3100,hit,0,5.762464,0,5.762464,0,0
10285,soft-hit,7.115868,28.064633,2.262004,37.442505000000004,0,true
20995,miss,8.718316,7.818787,2.851293,0,19.388396,0
15814,miss,8.167029,5.222817,2.745551,0,16.135396999999998,0
15538,miss,9.154884,5.914779,2.821491,0,17.891154,0
4889,hit,0,6.057673,0,6.057673,0,0
453,miss,14.413295,9.901179,4.425689,0,28.740163000000003,0
33418,soft-hit,13.302902,7.203262,4.640195,25.146359,0,true
33418,hit,0,6.292088,0,6.292088,0,0
11315,miss,6.811887,5.6149,2.32318,0,14.749966999999998,0
10490,miss,8.89852,4.836294,2.599171,0,16.333985,0
17463,soft-hit,6.948481,3.883696,2.115983,12.948160000000001,0,true
34161,hit,0,3.673376,0,3.673376,0,0
1267,miss,6.619906,3.997849,2.325567,0,12.943322,0
32774,miss,8.603765,3.870623,2.329564,0,14.803951999999999,0
21741,soft-hit,9.791127,4.876292,2.550688,17.218107,0,true
28490,hit,0,4.752466,0,4.752466,0,0
18648,hit,0,4.261495,0,4.261495,0,0
28278,hit,0,71.898232,0,71.898232,0,0
14451,soft-hit,9.552167,5.237781,2.810022,17.59997,0,false
30134,miss,6.88524,4.568246,2.209706,0,13.663192,0
13512,soft-hit,11.732165,4.908301,3.231878,19.872344,0,true
12487,hit,0,4.213931,0,4.213931,0,0
32818,miss,8.489866,5.224166,2.610752,0,16.324784,0
23907,miss,10.087521,4.409348,3.075494,0,17.572363,0
26371,soft-hit,9.124836,4.571992,2.670703,16.367531,0,false
1267,hit,0,3.684152,0,3.684152,0,0
17956,hit,0,3.929047,0,3.929047,0,0
8389,miss,11.07069,12.631401,3.406542,0,27.108632999999998,0
3914,miss,11.935162,4.324472,3.229555,0,19.489189,0
580,miss,9.506363,4.610335,2.995112,0,17.11181,0
177,hit,0,5.277263,0,5.277263,0,0
35546,miss,7.905523,3.621923,2.417863,0,13.945308999999998,0
13572,soft-hit,8.695793,3.789653,2.629461,15.114907,0,true
18131,hit,0,4.087675,0,4.087675,0,0
14451,hit,0,4.745563,0,4.745563,0,0
23978,miss,14.06003,5.4473,4.284297,0,23.791627,0
14525,soft-hit,8.605898,3.947313,2.842465,15.395676,0,true
12141,miss,9.399023,4.306856,2.725267,0,16.431146,0
31102,miss,9.370122,3.970206,2.725148,0,16.065476,0
22335,soft-hit,7.573769,4.324843,2.390788,14.2894,0,true
30736,hit,0,4.478029,0,4.478029,0,0
30707,soft-hit,15.64611,5.369079,4.124864,25.140053,0,true
32779,miss,8.588494,11.55401,2.699414,0,22.841918,0
35240,miss,6.872128,5.184215,2.335153,0,14.391496,0
30134,hit,0,5.58054,0,5.58054,0,0
33049,soft-hit,11.452868,6.041494,3.239106,20.733468000000002,0,true
22979,miss,12.442293,6.092949,3.738622,0,22.273864,0
17778,soft-hit,7.756597,7.185317,2.309875,17.251789,0,true
13073,miss,10.403788,13.274694,3.210548,0,26.889029999999998,0
22979,hit,0,6.845185,0,6.845185,0,0
32083,miss,7.416262,4.995977,2.351115,0,14.763354,0
8881,miss,7.101014,3.731998,2.257966,0,13.090978,0
10490,hit,0,4.738268,0,4.738268,0,0
26366,miss,24.674215,6.512167,2.850613,0,34.036995000000005,0
13572,hit,0,5.076619,0,5.076619,0,0
15011,miss,24.539929,5.382713,4.866087,0,34.788729000000004,0
6516,miss,23.099145,6.512318,6.75517,0,36.366633,0
27259,soft-hit,7.205353,4.279701,2.377914,13.862967999999999,0,true
24125,soft-hit,12.473194,7.53547,3.446446,23.455109999999998,0,true
19782,soft-hit,7.785096,4.573401,2.429439,14.787935999999998,0,true
16607,soft-hit,10.396134,5.511151,3.296245,19.20353,0,true
34280,miss,7.721853,4.595034,2.693989,0,15.010876,0
12873,miss,8.106371,5.769259,2.432897,0,16.308526999999998,0
32818,hit,0,5.523648,0,5.523648,0,0
5674,miss,7.178864,4.713359,2.315717,0,14.20794,0
19392,soft-hit,6.667776,4.208369,2.430598,13.306743,0,true
24200,soft-hit,10.349775,6.787752,3.289851,20.427377999999997,0,false
26371,soft-hit,11.292785,7.2459,4.301009,22.839694,0,false
33728,hit,0,3.297548,0,3.297548,0,0
29260,soft-hit,8.492768,5.735177,2.567508,16.795453000000002,0,true
