4514,248,177,49,1531
4520,170,124,33,1049
4538,174,121,33,1076
4547,153,110,28,944
4551,153,106,7,923
4553,202,203,14,1224
4556,169,121,35,1043
4560,126,88,7,761
4566,168,145,33,1035
4570,209,165,41,1292
4589,172,182,33,1061
4591,234,171,25,1424
4593,167,120,39,1033
4610,188,136,38,1159
4613,247,170,21,1496
4617,181,198,36,1118
4621,202,144,42,1251
4635,229,164,41,1409
4637,144,103,17,878
4640,240,194,19,1453
4658,162,130,31,1000
4659,206,163,26,1258
4673,211,162,14,1278
4677,160,168,15,972
4680,199,164,36,1227
4686,217,172,24,1323
4692,217,179,38,1335
4702,183,135,22,1117
4717,240,174,25,1462
4723,165,147,35,1022
4731,264,304,47,1626
4753,169,121,33,1044
4757,170,137,34,1050
4774,154,122,31,951
4779,172,133,16,1042
4792,156,121,28,963
4808,140,98,26,862
4813,151,108,28,931
4817,254,207,26,1545
4833,186,167,38,1147
4836,215,149,36,1323
4847,149,118,33,920
4863,199,240,20,1211
4875,134,110,28,829
4881,146,117,29,901
4885,220,234,21,1334
4889,135,96,32,836
4903,219,206,39,1348
4930,173,123,33,1066
4942,170,125,29,1047
4945,214,151,41,1320
4947,162,205,32,1000
4950,190,141,36,1171
4959,241,171,22,1463
4999,158,118,32,979
5009,191,155,34,1173
5016,164,125,37,1014
5021,192,137,38,1187
5025,178,151,32,1099
5030,226,239,40,1394
5036,207,158,37,1277
5038,179,134,38,1103
